P -4500.0, -3780.0, 400.0, 255, 255, 0, 3, Great_Span
P -1785.0, 6660.0, 200.0, 255, 0, 0, 3, To_Great_Divide
P -6300.0, 4600.0, 300.0, 255, 0, 0, 3, To_Kael_Drakkal
P -300.0, -100.0, 0.0, 255, 0, 0, 3, To_Crystal_Caverns
P 5500.0, -6000.0, 0.0, 255, 0, 0, 3, To_Iceclad_Ocean
P -7000.0, 6000.0, 300.0, 255, 0, 0, 3, To_Sleepers_Tomb
P -3000.0, -2000.0, 380.0, 255, 255, 0, 3, RyGorr_Keep
P -2000.0, 1000.0, 250.0, 255, 255, 0, 3, Coldain_Camps
P -5000.0, 2000.0, 350.0, 255, 255, 0, 3, Frost_Giant_Fort
P -4000.0, 500.0, 300.0, 255, 255, 0, 3, Dragon_Ring
P 3000.0, -4000.0, 100.0, 255, 255, 0, 3, Orc_Camp
L -2200.0, 1200.0, 250.0, -2200.0, 800.0, 250.0, 178, 102, 255
L -2000.0, 800.0, 250.0, -2000.0, 600.0, 250.0, 178, 102, 255
L -2000.0, 1200.0, 250.0, -2000.0, 1400.0, 250.0, 178, 102, 255
L -5300.0, 1700.0, 350.0, -4700.0, 1700.0, 350.0, 178, 102, 255
L -4700.0, 1700.0, 350.0, -4700.0, 2300.0, 350.0, 178, 102, 255
L -4700.0, 2300.0, 350.0, -5300.0, 2300.0, 350.0, 178, 102, 255
L -5300.0, 2300.0, 350.0, -5300.0, 1700.0, 350.0, 178, 102, 255
L -5000.0, 1700.0, 350.0, -5000.0, 1500.0, 350.0, 178, 102, 255
L -5000.0, 2300.0, 350.0, -5000.0, 2500.0, 350.0, 178, 102, 255
L -5300.0, 2000.0, 350.0, -5500.0, 2000.0, 350.0, 178, 102, 255
L -4700.0, 2000.0, 350.0, -4500.0, 2000.0, 350.0, 178, 102, 255
L -4200.0, 300.0, 300.0, -3800.0, 300.0, 300.0, 128, 64, 0
L -3800.0, 300.0, 300.0, -3800.0, 700.0, 300.0, 128, 64, 0
L -3800.0, 700.0, 300.0, -4200.0, 700.0, 300.0, 128, 64, 0
L -4200.0, 700.0, 300.0, -4200.0, 300.0, 300.0, 128, 64, 0
L -3000.0, -2500.0, 380.0, -3500.0, -3000.0, 390.0, 128, 64, 0
L -3500.0, -3000.0, 390.0, -4000.0, -3500.0, 395.0, 128, 64, 0
L -4000.0, -3500.0, 395.0, -4500.0, -3780.0, 400.0, 128, 64, 0
L -2000.0, 1400.0, 250.0, -2500.0, 2000.0, 270.0, 128, 64, 0
L -2500.0, 2000.0, 270.0, -3000.0, 2500.0, 280.0, 128, 64, 0
L -3000.0, 2500.0, 280.0, -3500.0, 3000.0, 290.0, 128, 64, 0
L -3500.0, 3000.0, 290.0, -4000.0, 3500.0, 300.0, 128, 64, 0
L -4000.0, 3500.0, 300.0, -4500.0, 3800.0, 310.0, 128, 64, 0
L -4500.0, 3800.0, 310.0, -5000.0, 4100.0, 310.0, 128, 64, 0
L -5000.0, 4100.0, 310.0, -5500.0, 4300.0, 310.0, 128, 64, 0
L -5500.0, 4300.0, 310.0, -6000.0, 4500.0, 300.0, 128, 64, 0
L -6000.0, 4500.0, 300.0, -6300.0, 4600.0, 300.0, 128, 64, 0
L -3000.0, -2000.0, 380.0, -2500.0, -1500.0, 350.0, 128, 64, 0
L -2500.0, -1500.0, 350.0, -2000.0, -1000.0, 300.0, 128, 64, 0
L -2000.0, -1000.0, 300.0, -1500.0, -500.0, 200.0, 128, 64, 0
L -1500.0, -500.0, 200.0, -1000.0, -200.0, 100.0, 128, 64, 0
L -1000.0, -200.0, 100.0, -300.0, -100.0, 0.0, 128, 64, 0
L -2000.0, 1400.0, 250.0, -1500.0, 2500.0, 230.0, 128, 64, 0
L -1500.0, 2500.0, 230.0, -1200.0, 3500.0, 220.0, 128, 64, 0
L -1200.0, 3500.0, 220.0, -1200.0, 4500.0, 210.0, 128, 64, 0
L -1200.0, 4500.0, 210.0, -1400.0, 5500.0, 205.0, 128, 64, 0
L -1400.0, 5500.0, 205.0, -1600.0, 6200.0, 200.0, 128, 64, 0
L -1600.0, 6200.0, 200.0, -1785.0, 6660.0, 200.0, 128, 64, 0
L 0.0, -200.0, 0.0, 1000.0, -1000.0, 50.0, 128, 64, 0
L 1000.0, -1000.0, 50.0, 2000.0, -2000.0, 70.0, 128, 64, 0
L 2000.0, -2000.0, 70.0, 3000.0, -3000.0, 80.0, 128, 64, 0
L 3000.0, -3000.0, 80.0, 4000.0, -4000.0, 60.0, 128, 64, 0
L 4000.0, -4000.0, 60.0, 5000.0, -5000.0, 30.0, 128, 64, 0
L 5000.0, -5000.0, 30.0, 5500.0, -6000.0, 0.0, 128, 64, 0
L -5000.0, 2500.0, 350.0, -5200.0, 3000.0, 330.0, 128, 64, 0
L -5200.0, 3000.0, 330.0, -5500.0, 3500.0, 320.0, 128, 64, 0
L -5500.0, 3500.0, 320.0, -6000.0, 4000.0, 310.0, 128, 64, 0
L -6000.0, 4000.0, 310.0, -6300.0, 4600.0, 300.0, 128, 64, 0
L -6300.0, 4600.0, 300.0, -6500.0, 5000.0, 300.0, 128, 64, 0
L -6500.0, 5000.0, 300.0, -6800.0, 5500.0, 300.0, 128, 64, 0
L -6800.0, 5500.0, 300.0, -7000.0, 6000.0, 300.0, 128, 64, 0
L -6000.0, -5500.0, 500.0, -5500.0, -5000.0, 480.0, 128, 128, 128
L -5500.0, -5000.0, 480.0, -5000.0, -4500.0, 460.0, 128, 128, 128
L -5000.0, -4500.0, 460.0, -4800.0, -4000.0, 440.0, 128, 128, 128
L -4800.0, -4000.0, 440.0, -5200.0, -3500.0, 430.0, 128, 128, 128
L -5200.0, -3500.0, 430.0, -5500.0, -3000.0, 420.0, 128, 128, 128
L -5500.0, -3000.0, 420.0, -5800.0, -2500.0, 410.0, 128, 128, 128
L -5800.0, -2500.0, 410.0, -6200.0, -2000.0, 400.0, 128, 128, 128
L -6200.0, -2000.0, 400.0, -6500.0, -1500.0, 390.0, 128, 128, 128
L -6500.0, -1500.0, 390.0, -6800.0, -1000.0, 380.0, 128, 128, 128
L -6800.0, -1000.0, 380.0, -7000.0, 0.0, 370.0, 128, 128, 128
L -7000.0, 0.0, 370.0, -7200.0, 1000.0, 360.0, 128, 128, 128
L 4000.0, -6000.0, 80.0, 4500.0, -5500.0, 70.0, 128, 128, 128
L 4500.0, -5500.0, 70.0, 5000.0, -5000.0, 60.0, 128, 128, 128
L 5000.0, -5000.0, 60.0, 5500.0, -4500.0, 50.0, 128, 128, 128
L 5500.0, -4500.0, 50.0, 6000.0, -4000.0, 40.0, 128, 128, 128
L 6000.0, -4000.0, 40.0, 6000.0, -3000.0, 30.0, 128, 128, 128
L 6000.0, -3000.0, 30.0, 5500.0, -2500.0, 20.0, 128, 128, 128
L 2500.0, -3800.0, 100.0, 3000.0, -3500.0, 100.0, 178, 102, 255
L 3000.0, -3500.0, 100.0, 3400.0, -3500.0, 100.0, 178, 102, 255
L 3400.0, -3500.0, 100.0, 3400.0, -4100.0, 100.0, 178, 102, 255
L 3400.0, -4100.0, 100.0, 2800.0, -4100.0, 100.0, 178, 102, 255
L 2800.0, -4100.0, 100.0, 2500.0, -3800.0, 100.0, 178, 102, 255
L -4000.0, 500.0, 300.0, -3900.0, 400.0, 300.0, 128, 128, 128
L -3900.0, 400.0, 300.0, -3800.0, 500.0, 300.0, 128, 128, 128
L -3800.0, 500.0, 300.0, -3900.0, 600.0, 300.0, 128, 128, 128
L -3900.0, 600.0, 300.0, -4100.0, 600.0, 300.0, 128, 128, 128
L -4100.0, 600.0, 300.0, -4200.0, 500.0, 300.0, 128, 128, 128
L -4200.0, 500.0, 300.0, -4100.0, 400.0, 300.0, 128, 128, 128
L -4100.0, 400.0, 300.0, -4000.0, 500.0, 300.0, 128, 128, 128
L -2000.0, -500.0, 200.0, -1800.0, -300.0, 150.0, 64, 64, 255
L -1800.0, -300.0, 150.0, -1500.0, -100.0, 100.0, 64, 64, 255
L -1500.0, -100.0, 100.0, -1200.0, 200.0, 50.0, 64, 64, 255
L -1200.0, 200.0, 50.0, -900.0, 500.0, 20.0, 64, 64, 255
L -900.0, 500.0, 20.0, -600.0, 800.0, 10.0, 64, 64, 255
L -600.0, 800.0, 10.0, -300.0, 1100.0, 5.0, 64, 64, 255
L 1000.0, 2000.0, 100.0, 1200.0, 2500.0, 80.0, 64, 64, 255
L 1200.0, 2500.0, 80.0, 1400.0, 3000.0, 60.0, 64, 64, 255
L 1400.0, 3000.0, 60.0, 1200.0, 3500.0, 50.0, 64, 64, 255
L 1200.0, 3500.0, 50.0, 1000.0, 4000.0, 40.0, 64, 64, 255
L -3000.0, -5000.0, 450.0, -2500.0, -5200.0, 430.0, 128, 128, 128
L -2500.0, -5200.0, 430.0, -2000.0, -5000.0, 400.0, 128, 128, 128
L -2000.0, -5000.0, 400.0, -1500.0, -4500.0, 350.0, 128, 128, 128
L -1500.0, -4500.0, 350.0, -1000.0, -4000.0, 300.0, 128, 128, 128
L -1000.0, -4000.0, 300.0, -500.0, -3500.0, 250.0, 128, 128, 128
L -500.0, -3500.0, 250.0, 0.0, -3000.0, 200.0, 128, 128, 128
L 0.0, -3000.0, 200.0, 500.0, -2500.0, 150.0, 128, 128, 128
L 500.0, -2500.0, 150.0, 1000.0, -2000.0, 100.0, 128, 128, 128
L -4000.0, -1000.0, 360.0, -3500.0, -500.0, 330.0, 128, 64, 0
L -3500.0, -500.0, 330.0, -3000.0, 0.0, 310.0, 128, 64, 0
L -3000.0, 0.0, 310.0, -2500.0, 500.0, 290.0, 128, 64, 0
L -2500.0, 500.0, 290.0, -2000.0, 1000.0, 250.0, 128, 64, 0
L -5000.0, -1500.0, 380.0, -4500.0, -1000.0, 370.0, 128, 64, 0
L -4500.0, -1000.0, 370.0, -4000.0, -500.0, 360.0, 128, 64, 0
L -4000.0, -500.0, 360.0, -4000.0, 500.0, 300.0, 128, 64, 0
L 0.0, -1000.0, 50.0, 500.0, -500.0, 30.0, 128, 64, 0
L 500.0, -500.0, 30.0, 1000.0, 0.0, 20.0, 128, 64, 0
L 1000.0, 0.0, 20.0, 2000.0, 1000.0, 30.0, 128, 64, 0
L 2000.0, 1000.0, 30.0, 3000.0, 2000.0, 40.0, 128, 64, 0
