P -1850.0, 6660.0, -200.0, 255, 0, 0, 3, To_Eastern_Wastes
P -100.0, -100.0, -300.0, 255, 0, 0, 3, To_Thurgadin
P -1910.0, -2710.0, -300.0, 255, 255, 0, 3, Wizard_Spires
P -3860.0, 3200.0, -200.0, 255, 255, 0, 3, Druid_Ring
P -6770.0, 3130.0, -100.0, 255, 0, 0, 3, To_Velketors_Lab
P -4500.0, -1000.0, -250.0, 255, 255, 0, 3, Frost_Giant_Outpost
P -5500.0, 1500.0, -150.0, 255, 255, 0, 3, Tizmak_Caverns
P -1000.0, 500.0, -280.0, 255, 255, 0, 3, Coldain_Camp
P -3000.0, -500.0, -260.0, 255, 255, 0, 3, Rift_Bridge
P 500.0, 3000.0, -220.0, 255, 255, 0, 3, Snow_Griffon_Area
P -2500.0, 5000.0, -200.0, 255, 255, 0, 3, Tundra_Yeti_Camp
L -4300.0, -800.0, -250.0, -4700.0, -800.0, -250.0, 178, 102, 255
L -4700.0, -800.0, -250.0, -4700.0, -1200.0, -250.0, 178, 102, 255
L -4500.0, -1200.0, -250.0, -4500.0, -1400.0, -250.0, 178, 102, 255
L -4700.0, -1000.0, -250.0, -4900.0, -1000.0, -250.0, 178, 102, 255
L -4300.0, -1000.0, -250.0, -4100.0, -1000.0, -250.0, 178, 102, 255
L -5700.0, 1300.0, -150.0, -5300.0, 1300.0, -150.0, 178, 102, 255
L -5300.0, 1300.0, -150.0, -5300.0, 1700.0, -150.0, 178, 102, 255
L -5300.0, 1700.0, -150.0, -5700.0, 1700.0, -150.0, 178, 102, 255
L -5700.0, 1700.0, -150.0, -5700.0, 1300.0, -150.0, 178, 102, 255
L -5500.0, 1300.0, -150.0, -5500.0, 1100.0, -150.0, 178, 102, 255
L -5500.0, 1700.0, -150.0, -5500.0, 1900.0, -150.0, 178, 102, 255
L -4060.0, 3000.0, -200.0, -3860.0, 3000.0, -200.0, 128, 128, 128
L -3860.0, 3000.0, -200.0, -3660.0, 3200.0, -200.0, 128, 128, 128
L -3660.0, 3200.0, -200.0, -3860.0, 3400.0, -200.0, 128, 128, 128
L -3860.0, 3400.0, -200.0, -4060.0, 3200.0, -200.0, 128, 128, 128
L -4060.0, 3200.0, -200.0, -4060.0, 3000.0, -200.0, 128, 128, 128
L -1200.0, 300.0, -280.0, -800.0, 300.0, -280.0, 178, 102, 255
L -800.0, 300.0, -280.0, -800.0, 700.0, -280.0, 178, 102, 255
L -800.0, 700.0, -280.0, -1200.0, 700.0, -280.0, 178, 102, 255
L -1200.0, 700.0, -280.0, -1200.0, 300.0, -280.0, 178, 102, 255
L -1000.0, 300.0, -280.0, -1000.0, 100.0, -280.0, 178, 102, 255
L -1000.0, 700.0, -280.0, -1000.0, 900.0, -280.0, 178, 102, 255
L -100.0, -500.0, -300.0, -500.0, -800.0, -300.0, 128, 64, 0
L -500.0, -800.0, -300.0, -1000.0, -1000.0, -300.0, 128, 64, 0
L -1000.0, -1000.0, -300.0, -1500.0, -1500.0, -300.0, 128, 64, 0
L -1500.0, -1500.0, -300.0, -1910.0, -2400.0, -300.0, 128, 64, 0
L -1910.0, -2400.0, -300.0, -1910.0, -2710.0, -300.0, 128, 64, 0
L 300.0, -100.0, -300.0, 500.0, 200.0, -290.0, 128, 64, 0
L 500.0, 200.0, -290.0, 700.0, 800.0, -280.0, 128, 64, 0
L 700.0, 800.0, -280.0, 500.0, 1500.0, -260.0, 128, 64, 0
L 500.0, 1500.0, -260.0, 500.0, 2500.0, -240.0, 128, 64, 0
L 500.0, 2500.0, -240.0, 0.0, 3500.0, -220.0, 128, 64, 0
L 0.0, 3500.0, -220.0, -500.0, 4500.0, -210.0, 128, 64, 0
L -500.0, 4500.0, -210.0, -1000.0, 5500.0, -205.0, 128, 64, 0
L -1000.0, 5500.0, -205.0, -1500.0, 6200.0, -200.0, 128, 64, 0
L -1500.0, 6200.0, -200.0, -1850.0, 6660.0, -200.0, 128, 64, 0
L -500.0, -100.0, -300.0, -1000.0, 500.0, -280.0, 128, 64, 0
L -2000.0, -2500.0, -300.0, -2500.0, -2000.0, -290.0, 128, 64, 0
L -2500.0, -2000.0, -290.0, -3000.0, -1500.0, -275.0, 128, 64, 0
L -3000.0, -1500.0, -275.0, -3500.0, -1000.0, -260.0, 128, 64, 0
L -3500.0, -1000.0, -260.0, -4500.0, -1000.0, -250.0, 128, 64, 0
L -4900.0, -1000.0, -250.0, -5200.0, -500.0, -230.0, 128, 64, 0
L -5200.0, -500.0, -230.0, -5500.0, 500.0, -200.0, 128, 64, 0
L -5500.0, 500.0, -200.0, -5500.0, 1100.0, -170.0, 128, 64, 0
L -5500.0, 1100.0, -170.0, -5500.0, 1500.0, -150.0, 128, 64, 0
L -5700.0, 1500.0, -150.0, -6000.0, 2000.0, -140.0, 128, 64, 0
L -6000.0, 2000.0, -140.0, -6500.0, 2500.0, -120.0, 128, 64, 0
L -6500.0, 2500.0, -120.0, -6770.0, 3130.0, -100.0, 128, 64, 0
L -3860.0, 3400.0, -200.0, -3500.0, 4000.0, -200.0, 128, 64, 0
L -3500.0, 4000.0, -200.0, -3000.0, 4500.0, -200.0, 128, 64, 0
L -3000.0, 4500.0, -200.0, -2500.0, 5000.0, -200.0, 128, 64, 0
L -2500.0, 5000.0, -200.0, -2000.0, 5500.0, -200.0, 128, 64, 0
L -2000.0, 5500.0, -200.0, -1850.0, 6660.0, -200.0, 128, 64, 0
L -3000.0, -500.0, -260.0, -3000.0, 500.0, -240.0, 128, 64, 0
L -3000.0, 500.0, -240.0, -3200.0, 1500.0, -220.0, 128, 64, 0
L -3200.0, 1500.0, -220.0, -3500.0, 2500.0, -210.0, 128, 64, 0
L -3500.0, 2500.0, -210.0, -3860.0, 3200.0, -200.0, 128, 64, 0
L -500.0, 1000.0, -250.0, -200.0, 1500.0, -240.0, 64, 64, 255
L -200.0, 1500.0, -240.0, 0.0, 2000.0, -230.0, 64, 64, 255
L 0.0, 2000.0, -230.0, 200.0, 2500.0, -225.0, 64, 64, 255
L 200.0, 2500.0, -225.0, 0.0, 3000.0, -220.0, 64, 64, 255
L -2000.0, -4000.0, -320.0, -1500.0, -3500.0, -310.0, 64, 64, 255
L -1500.0, -3500.0, -310.0, -1000.0, -3000.0, -300.0, 64, 64, 255
L -1000.0, -3000.0, -300.0, -500.0, -2500.0, -310.0, 64, 64, 255
L -500.0, -2500.0, -310.0, 0.0, -2000.0, -320.0, 64, 64, 255
L -6000.0, -4000.0, -200.0, -5500.0, -3500.0, -220.0, 128, 128, 128
L -5500.0, -3500.0, -220.0, -5000.0, -3000.0, -240.0, 128, 128, 128
L -6500.0, -3000.0, -180.0, -6000.0, -2500.0, -200.0, 128, 128, 128
L -6000.0, -2500.0, -200.0, -5500.0, -2000.0, -220.0, 128, 128, 128
L -5500.0, -2000.0, -220.0, -5000.0, -1500.0, -240.0, 128, 128, 128
L -6800.0, 0.0, -100.0, -6500.0, 500.0, -110.0, 128, 128, 128
L -6500.0, 500.0, -110.0, -6200.0, 1000.0, -120.0, 128, 128, 128
L -6200.0, 1000.0, -120.0, -6000.0, 1500.0, -130.0, 128, 128, 128
L -6000.0, 1500.0, -130.0, -6200.0, 2000.0, -130.0, 128, 128, 128
L -6200.0, 2000.0, -130.0, -6500.0, 2500.0, -120.0, 128, 128, 128
L -6500.0, 2500.0, -120.0, -6770.0, 3130.0, -100.0, 128, 128, 128
L 500.0, -3500.0, -350.0, 800.0, -3000.0, -340.0, 128, 128, 128
L 800.0, -3000.0, -340.0, 1000.0, -2500.0, -330.0, 128, 128, 128
L 1000.0, -2500.0, -330.0, 1200.0, -2000.0, -320.0, 128, 128, 128
L 1200.0, -2000.0, -320.0, 1300.0, -1500.0, -310.0, 128, 128, 128
L 1300.0, -1500.0, -310.0, 1200.0, -1000.0, -300.0, 128, 128, 128
